timestamp,model,is_final,seed,PEHE_ihdp_synth,ATE_error_ihdp_synth,elapsed_ihdp_synth,PEHE_jobs_synth,ATE_error_jobs_synth,elapsed_jobs_synth,PEHE_acic_synth,ATE_error_acic_synth,elapsed_acic_synth
2026-04-29T18:12:24.469925+00:00,baseline:causal_forest,true,42,0.770819,0.071094,87.3,359.499644,41.739849,133.9,0.501757,0.017383,1016.5
2026-04-29T18:58:43.942522+00:00,baseline:dr_learner,true,42,1.383071,0.075198,165.8,557.402309,63.988724,334.3,0.501026,0.028688,3800.9
2026-04-29T18:10:28.004301+00:00,baseline:ipw,true,42,2.120387,0.496693,33.3,5183.845549,843.319281,80.1,1.302025,0.031325,898.3
2026-04-30T06:09:53.793096+00:00,baseline:r_learner,true,42,0.812779,0.049761,103.7,440.8389,38.281755,222.2,0.42138,0.015227,2653.3
2026-04-29T18:03:54.134719+00:00,baseline:s_learner,true,42,0.799857,0.104546,18.1,395.973114,50.95098,39.3,0.524491,0.071996,502.8
2026-04-29T18:03:17.957075+00:00,baseline:t_learner,true,42,1.140957,0.097781,20.2,655.309148,30.193876,41.1,0.774931,0.032164,461.3
2026-04-30T17:35:15.805764+00:00,claude-opus-4.6,false,42,0.800368,0.06466,416,465.23168,64.275096,839,,,
2026-04-30T18:48:45.225889+00:00,claude-opus-4.6,true,42,0.798625,0.076637,583,467.427486,66.499789,1237,,,
2026-04-30T16:26:46.748645+00:00,gemini-3.1-pro-preview,false,42,1.124189,0.081932,86,546.937198,35.823682,117,0.53038,0.019317,139
2026-04-30T17:31:25.780173+00:00,gemini-3.1-pro-preview,false,42,0.930075,0.074563,162,425.298567,35.983215,319,0.456709,0.024375,3762
2026-04-30T17:33:52.255522+00:00,gemini-3.1-pro-preview,true,42,0.930075,0.074563,162,425.298567,35.983215,319,0.456709,0.024375,3762
2026-04-30T16:55:22.881607+00:00,openai/gpt-5.4,false,42,0.80503,0.086895,84,402.696708,32.777278,166,0.488844,0.03408,1990
2026-04-30T17:34:44.334993+00:00,openai/gpt-5.4,false,42,0.750531,0.073178,108,355.566261,34.734513,221,0.411414,0.03065,2298
2026-04-30T17:34:47.675806+00:00,openai/gpt-5.4,true,42,0.750531,0.073178,108,355.566261,34.734513,221,0.411414,0.03065,2298
2026-04-30T17:17:53.372632+00:00,qwen3.6-plus,true,42,2.367137,0.200968,135,641.207454,50.247939,273,0.529159,0.018837,3294
2026-04-30T18:32:24.186210+00:00,qwen3.6-plus,false,42,0.828764,0.284858,455,520.001399,371.861673,980,,,
2026-04-30T17:16:17.366260+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,2.056572,0.206467,125,788.30939,50.666612,265,0.662067,0.029951,3166
2026-04-30T18:01:13.174276+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,2.009916,0.215048,106,668.738458,41.871062,209,0.600435,0.030173,2539
2026-04-30T18:57:46.151806+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,1.401986,0.093866,140,619.843921,46.634866,268,0.634148,0.037784,3181
2026-04-30T18:58:00.124831+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,true,42,1.401986,0.093866,140,619.843921,46.634866,268,0.634148,0.037784,3181
