timestamp,model,is_final,seed,test_acc_resnet20-cifar10,test_acc_vgg16bn-cifar100,test_acc_mobilenetv2-fmnist,elapsed_resnet20-cifar10,elapsed_vgg16bn-cifar100,elapsed_mobilenetv2-fmnist
2026-04-03T14:12:24.347600+00:00,baseline:silu,true,42,92.72,70.38,94.69,,,
2026-04-03T16:56:56.995993+00:00,baseline:gelu,true,42,93.11,71.38,94.75,802,824,2151
2026-04-05T12:43:46.061380+00:00,baseline:mish,true,42,92.78,70.5,94.7,603,599,1855
2026-04-09T19:54:23.534392+00:00,deepseek-reasoner,false,42,93.01,73.87,94.74,670,656,2134
2026-04-09T21:14:16.083375+00:00,qwen/qwen3.6-plus,false,42,93.1,72.7,94.9,691,665,2247
2026-04-09T23:00:30.313462+00:00,anthropic/claude-opus-4.6,false,42,92.84,70.88,94.82,738,750,2671
2026-04-10T00:08:38.308575+00:00,google/gemini-3.1-pro-preview,false,42,92.37,1.0,94.54,981,996,4200
2026-04-10T00:09:33.111989+00:00,openai/gpt-5.4-pro,false,42,92.61,69.51,94.38,744,751,2716
2026-04-10T01:33:02.584852+00:00,deepseek-reasoner,false,42,92.19,73.74,94.87,698,668,2137
2026-04-10T03:11:41.911122+00:00,qwen/qwen3.6-plus,false,42,92.66,71.82,94.96,652,652,2108
2026-04-10T05:31:45.595443+00:00,google/gemini-3.1-pro-preview,false,42,92.68,73.58,94.91,813,827,3244
2026-04-10T05:35:45.980243+00:00,openai/gpt-5.4-pro,false,42,92.75,71.76,94.45,788,800,2863
2026-04-10T05:54:16.463993+00:00,anthropic/claude-opus-4.6,false,42,92.66,70.47,94.58,861,868,4800
2026-04-10T15:58:41.824952+00:00,deepseek-reasoner,false,42,10.0,1.0,10.0,788,748,2451
2026-04-10T15:58:55.299476+00:00,deepseek-reasoner,true,42,93.01,73.87,94.74,670,656,2134
2026-04-10T17:07:43.171115+00:00,qwen/qwen3.6-plus,false,42,92.67,72.96,94.73,666,674,2231
2026-04-14T04:40:50.695981+00:00,anthropic/claude-opus-4.6,true,42,92.84,70.88,94.82,738,750,2671
2026-04-14T04:40:56.559439+00:00,qwen/qwen3.6-plus,true,42,93.1,72.7,94.9,691,665,2247
2026-04-14T05:51:41.509879+00:00,openai/gpt-5.4,false,42,91.14,68.05,93.53,943,1101,4207
2026-04-14T06:30:10.597849+00:00,google/gemini-3.1-pro-preview,false,42,93.12,72.34,95.2,1229,1434,6222
