timestamp,model,is_final,seed,score_mean,gsm8k_reward_mean,gsm8k_accuracy,math500_accuracy,amc_accuracy,elapsed_deepmath-3bench-1gpu,aime2024_accuracy,elapsed_deepmath-3bench
2026-04-21T14:47:16.698117+00:00,baseline:first_k_tokens,false,42,-0.751,0.4391,0.4391,0.2875,0.0828,21411,,
2026-04-21T14:44:16.664861+00:00,baseline:sequence_level,false,42,-0.6973,0.4443,0.4443,0.3108,0.0964,21386,,
2026-04-21T13:59:14.876367+00:00,baseline:token_level,false,42,-0.6758,0.4554,0.4554,0.3078,0.0964,18882,,
2026-04-24T23:09:50.981583+00:00,claude-opus-4.6,false,42,-0.7119,0.4538,0.4538,0.3162,0.0828,18510,,
2026-04-24T23:42:34.687641+00:00,gpt-5.4,false,42,-0.6396,0.4373,0.4373,0.2975,0.0678,,,
2026-04-25T01:08:19.025578+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,-0.667,0.4484,0.4484,0.3063,0.0904,18513,,
2026-04-25T03:17:30.465118+00:00,qwen3.6-plus,false,42,-0.668,0.4659,0.4659,0.3073,0.0738,18035,,
2026-04-25T04:36:23.314220+00:00,gemini-3.1-pro-preview,false,42,-0.6807,0.4561,0.4561,0.3065,0.0828,18556,,
2026-04-25T07:35:56.672464+00:00,claude-opus-4.6,false,42,-0.6758,0.4592,0.4592,0.3075,0.0949,18248,,
2026-04-25T08:19:23.607266+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,-0.6836,0.4541,0.4541,0.3105,0.0964,17874,,
2026-04-25T08:42:21.231196+00:00,gpt-5.4,false,42,-0.6719,0.4615,0.4615,0.3105,0.0904,19407,,
2026-04-25T08:42:24.049390+00:00,gpt-5.4,true,42,-0.6719,0.4615,0.4615,0.3105,0.0904,19407,,
2026-04-25T11:28:22.939597+00:00,qwen3.6-plus,false,42,-0.668,0.4597,0.4597,0.3108,0.1145,18185,,
2026-04-25T13:41:54.978577+00:00,gemini-3.1-pro-preview,false,42,-0.7295,0.435,0.435,0.295,0.0708,,,
2026-04-25T14:10:44.003936+00:00,claude-opus-4.6,false,42,-0.6689,0.4658,0.4658,0.305,0.0979,18031,,
2026-04-25T14:10:48.283456+00:00,claude-opus-4.6,true,42,-0.6689,0.4658,0.4658,0.305,0.0979,18031,,
2026-04-25T14:27:00.138359+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,-0.6494,0.4604,0.4604,0.313,0.116,18020,,
2026-04-25T14:27:14.859925+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,true,42,-0.6494,0.4604,0.4604,0.313,0.116,18020,,
2026-04-25T17:04:25.893656+00:00,qwen3.6-plus,false,42,-0.6562,0.4519,0.4519,0.3005,0.0979,17597,,
2026-04-25T17:04:44.687738+00:00,qwen3.6-plus,true,42,-0.668,0.4597,0.4597,0.3108,0.1145,18185,,
2026-04-25T18:38:27.975227+00:00,gemini-3.1-pro-preview,false,42,-0.6865,0.4575,0.4575,0.2998,0.0753,17703,,
2026-04-25T18:38:46.284493+00:00,gemini-3.1-pro-preview,true,42,-0.6807,0.4561,0.4561,0.3065,0.0828,18556,,
2026-04-18T09:46:18.395619+00:00,baseline:sequence_level,false,42,,,,,,,,
2026-04-18T09:46:18.419482+00:00,baseline:token_level,false,42,,,,,,,,
2026-04-18T09:47:18.453945+00:00,baseline:first_k_tokens,false,42,,,,,,,,
2026-04-18T10:19:17.884493+00:00,baseline:token_level,false,42,,,,,,,,
2026-04-18T10:20:17.925118+00:00,baseline:sequence_level,false,42,,,,,,,,
