timestamp,model,is_final,seed,meta_test_return_cheetah_vel,meta_test_return_sparse_point_robot,meta_test_return_point_robot,elapsed_cheetah-vel,elapsed_point-robot,elapsed_sparse-point-robot,meta_test_return_cheetah_vel_std,meta_test_return_sparse_point_robot_std,meta_test_return_point_robot_std,elapsed_cheetah-vel_std,elapsed_point-robot_std
2026-04-08T17:08:27.434021+00:00,baseline:attention_encoder,true,42,-103.0377,2.4205,-9.7941,645.2,679.1,1880.9,,,,,
2026-04-08T17:42:03.174631+00:00,baseline:attention_encoder,true,123,-96.7009,3.5536,-11.0876,619.3,661.7,2008.0,,,,,
2026-04-08T17:43:20.515381+00:00,baseline:attention_encoder,true,456,-90.5223,0.0,-11.6288,599.3,1149.8,2025.2,,,,,
2026-04-08T17:43:20.515381+00:00,baseline:attention_encoder,true,mean,-96.75363333333333,1.9913666666666667,-10.836833333333333,621.2666666666667,830.1999999999999,1971.3666666666668,5.109526716068937,1.4821459224906148,0.7697159490501818,,
2026-04-08T16:36:57.213900+00:00,baseline:mlp_encoder,true,42,-165.211,3.5173,-14.3543,657.5,727.7,1779.1,,,,,
2026-04-08T16:36:50.748010+00:00,baseline:mlp_encoder,true,123,-152.0164,3.6229,-9.9385,590.7,763.3,1772.6,,,,,
2026-04-08T16:36:59.438437+00:00,baseline:mlp_encoder,true,456,-108.3526,4.2689,-11.3416,595.9,682.0,1781.4,,,,,
2026-04-08T16:36:59.438437+00:00,baseline:mlp_encoder,true,mean,-141.86,3.8030333333333335,-11.878133333333333,614.6999999999999,724.3333333333334,1777.7,24.297925266162135,0.33222648232125573,1.842231151499604,,
2026-05-05T06:53:55.853675+00:00,baseline:recurrent_encoder,true,42,-169.5564,0.0,-11.0495,3426,4002,3221.5,,,,,
2026-05-05T06:53:55.854550+00:00,baseline:recurrent_encoder,true,123,-182.2295,0.0,-9.5863,3426,4005,3397.1,,,,,
2026-05-05T06:53:55.855059+00:00,baseline:recurrent_encoder,true,456,-203.8757,1.8588,-11.1516,3426,4005,3339.1,,,,,
2026-05-05T06:53:55.855059+00:00,baseline:recurrent_encoder,true,mean,-185.22053333333335,0.6196,-10.595799999999999,3426.0,4004.0,3319.2333333333336,14.169528301331072,0.8762467232463697,0.715040227306595,,
2026-04-08T20:51:39+00:00,anthropic/claude-opus-4.6,false,42,-109.0449,2.4542,-11.7158,604,661,1627,,,,,
2026-05-03T09:04:01.955637+00:00,anthropic/claude-opus-4.6,true,42,-98.9439,5.6219,-12.672,621,725,1710,,,,,
2026-05-03T09:04:01.956637+00:00,anthropic/claude-opus-4.6,true,123,-122.3982,4.4343,-11.7454,626,702,1728,,,,,
2026-05-03T09:04:01.957637+00:00,anthropic/claude-opus-4.6,true,456,-141.6205,5.5327,-9.4238,631,726,1716,,,,,
2026-04-09T01:24:23+00:00,deepseek-reasoner,true,42,,,-18.4833,,695,,,,,,
2026-04-09T01:24:23+00:00,deepseek-reasoner,true,123,,,-15.0672,,664,,,,,,
2026-04-09T01:24:23+00:00,deepseek-reasoner,true,456,,,-15.8826,,693,,,,,,
2026-04-08T18:32:47+00:00,google/gemini-3.1-pro-preview,false,42,-114.085,1.0732,-17.4824,622,799,1721,,,,,
2026-04-08T19:29:03+00:00,google/gemini-3.1-pro-preview,false,42,-95.3849,3.2493,-11.4931,633,663,1864,,,,,
2026-04-09T01:31:27+00:00,google/gemini-3.1-pro-preview,true,42,-93.7499,3.2493,-11.4931,610,683,1684,,,,,
2026-04-08T18:32:47+00:00,google/gemini-3.1-pro-preview,false,123,-193.0937,1.0969,-18.5397,606,735,1704,,,,,
2026-04-09T01:31:27+00:00,google/gemini-3.1-pro-preview,true,123,-92.8733,3.9759,-10.4641,606,678,1778,,,,,
2026-04-08T18:32:47+00:00,google/gemini-3.1-pro-preview,false,456,-155.0008,0.0,-14.7265,608,705,1727,,,,,
2026-04-09T01:31:27+00:00,google/gemini-3.1-pro-preview,true,456,-128.1548,1.3601,-12.7992,593,688,1729,,,,,
2026-04-08T18:51:03+00:00,openai/gpt-5.4-pro,false,42,-78.3688,6.3095,-11.602,606,693,3529,,,,,
2026-04-08T23:58:48+00:00,openai/gpt-5.4-pro,false,42,-174.4687,5.4938,-13.8479,642,783,1885,,,,,
2026-04-09T06:12:00+00:00,openai/gpt-5.4-pro,true,42,-150.4653,5.4938,-13.8479,662,692,1801,,,,,
2026-04-08T18:51:03+00:00,openai/gpt-5.4-pro,false,123,-90.6512,4.639,-12.1485,603,701,2138,,,,,
2026-04-09T06:12:00+00:00,openai/gpt-5.4-pro,true,123,-89.6891,6.1415,-12.4265,633,712,1754,,,,,
