timestamp,model,is_final,seed,success_rate_tool_hang_ph,success_rate_can_ph,success_rate_square_ph,elapsed_tool_hang_ph,elapsed_can_ph,elapsed_square_ph,success_rate_tool_hang_ph_std,success_rate_can_ph_std,success_rate_square_ph_std,elapsed_can_ph_std,elapsed_square_ph_std,elapsed_tool_hang_ph_std,success_rate_lift_ph,elapsed_lift_ph,success_rate_lift_ph_std,elapsed_lift_ph_std,success_rate_transport_ph,success_rate_transport_ph_std
2026-04-19T19:35:59.847369+00:00,baseline:default,true,42,0.1,0.86,0.76,21791,8108,10189,,,,,,,,,,,,
2026-04-19T19:35:59.851003+00:00,baseline:default,true,123,0.08,0.86,0.64,21791,8108,10656,,,,,,,,,,,,
2026-04-19T19:35:59.851989+00:00,baseline:default,true,456,0.26,0.84,0.8,21791,8113,10656,,,,,,,,,,,,
2026-04-19T19:35:59.851989+00:00,baseline:default,true,mean,0.14666666666666667,0.8533333333333334,0.7333333333333334,21791.0,8109.666666666667,10500.333333333334,0.08055363982396381,0.009428090415820642,0.0679869268479038,,,,,,,,,
2026-04-19T19:48:59.776621+00:00,baseline:nll_entropy,true,42,0.1,0.86,0.8,22568,9131,11032,,,,,,,,,,,,
2026-04-19T19:48:59.781005+00:00,baseline:nll_entropy,true,123,0.08,0.88,0.74,22616,9131,11032,,,,,,,,,,,,
2026-04-19T19:48:59.782080+00:00,baseline:nll_entropy,true,456,0.04,0.8,0.68,22616,9131,11311,,,,,,,,,,,,
2026-04-19T19:48:59.782080+00:00,baseline:nll_entropy,true,mean,0.07333333333333333,0.8466666666666667,0.7400000000000001,22600.0,9131.0,11125.0,0.024944382578492942,0.033993463423951875,0.04898979485566356,,,,,,,,,
2026-04-19T19:20:58.865962+00:00,baseline:weighted_nll,true,42,0.04,0.42,0.56,21695,10602,11980,,,,,,,,,,,,
2026-04-19T19:20:58.870384+00:00,baseline:weighted_nll,true,123,0.02,0.38,0.4,21886,10892,11980,,,,,,,,,,,,
2026-04-19T19:20:58.871387+00:00,baseline:weighted_nll,true,456,0.02,0.44,0.48,21886,10892,11980,,,,,,,,,,,,
2026-04-19T19:20:58.871387+00:00,baseline:weighted_nll,true,mean,0.02666666666666667,0.41333333333333333,0.48,21822.333333333332,10795.333333333334,11980.0,0.009428090415820633,0.02494438257849294,0.0653197264742181,,,,,,,,,
2026-04-21T16:03:34.465600+00:00,claude-opus-4.6,false,42,0.06,0.88,,21755,8226,17,,,,,,,,,,,,
2026-04-21T16:03:34.471266+00:00,claude-opus-4.6,false,123,0.12,0.82,0.68,21755,8397,9910,,,,,,,,,,,,
2026-04-21T16:03:34.472912+00:00,claude-opus-4.6,false,456,0.06,0.88,0.74,21981,8397,9910,,,,,,,,,,,,
2026-04-21T16:03:34.474432+00:00,claude-opus-4.6,false,mean,0.08,0.86,0.71,21830.333333333332,8340.0,6612.333333333333,0.034641016151377546,0.034641016151377574,0.04242640687119281,98.72689603142601,5711.726213092968,130.48116083685542,,,,,,
2026-04-21T18:32:44.107835+00:00,claude-opus-4.6,false,42,0.06,0.88,,21755,8226,17,,,,,,,,,,,,
2026-04-21T18:32:44.112658+00:00,claude-opus-4.6,false,123,0.12,0.82,0.68,21755,8397,9910,,,,,,,,,,,,
2026-04-21T18:32:44.114269+00:00,claude-opus-4.6,false,456,0.06,0.88,0.74,21981,8397,9910,,,,,,,,,,,,
2026-04-21T18:32:44.115654+00:00,claude-opus-4.6,false,mean,0.08,0.86,0.71,21830.333333333332,8340.0,6612.333333333333,0.034641016151377546,0.034641016151377574,0.04242640687119281,98.72689603142601,5711.726213092968,130.48116083685542,,,,,,
2026-04-25T09:18:27.711354+00:00,claude-opus-4.6,true,42,0.06,0.88,,21755,8226,17,,,,,,,,,,,,
2026-04-25T09:18:27.713344+00:00,claude-opus-4.6,true,123,0.12,0.82,0.68,21755,8397,9910,,,,,,,,,,,,
2026-04-25T09:18:27.716091+00:00,claude-opus-4.6,true,456,0.06,0.88,0.74,21981,8397,9910,,,,,,,,,,,,
2026-04-25T09:18:27.717971+00:00,claude-opus-4.6,true,mean,0.08,0.86,0.71,21830.333333333332,8340.0,6612.333333333333,0.034641016151377546,0.034641016151377574,0.04242640687119281,98.72689603142601,5711.726213092968,130.48116083685542,,,,,,
2026-04-21T16:03:29.848901+00:00,deepseek-reasoner,false,42,0.0,0.0,0.0,19783,12595,12979,,,,,,,,,,,,
2026-04-21T16:03:29.853705+00:00,deepseek-reasoner,false,123,0.0,0.0,0.0,20018,12595,12979,,,,,,,,,,,,
2026-04-21T16:03:29.855444+00:00,deepseek-reasoner,false,456,0.0,0.0,0.0,20018,12666,13092,,,,,,,,,,,,
2026-04-21T16:03:29.857000+00:00,deepseek-reasoner,false,mean,0.0,0.0,0.0,19939.666666666668,12618.666666666666,13016.666666666666,0.0,0.0,0.0,40.99186911246343,65.24058041842771,135.67731325956206,,,,,,
2026-04-21T18:32:44.136266+00:00,deepseek-reasoner,false,42,0.0,0.0,0.0,19783,12595,12979,,,,,,,,,,,,
2026-04-21T18:32:44.138235+00:00,deepseek-reasoner,false,123,0.0,0.0,0.0,20018,12595,12979,,,,,,,,,,,,
2026-04-21T18:32:44.139716+00:00,deepseek-reasoner,false,456,0.0,0.0,0.0,20018,12666,13092,,,,,,,,,,,,
2026-04-21T18:32:44.142886+00:00,deepseek-reasoner,false,mean,0.0,0.0,0.0,19939.666666666668,12618.666666666666,13016.666666666666,0.0,0.0,0.0,40.99186911246343,65.24058041842771,135.67731325956206,,,,,,
2026-04-25T18:04:27.107890+00:00,deepseek-reasoner,false,42,0.04,0.92,0.74,25219,9302,12074,,,,,,,,,,,,
2026-04-25T18:04:27.112138+00:00,deepseek-reasoner,false,123,0.12,0.92,0.74,25219,9302,12386,,,,,,,,,,,,
2026-04-25T18:04:27.113952+00:00,deepseek-reasoner,false,456,0.18,0.84,0.76,25230,9527,12386,,,,,,,,,,,,
2026-04-25T18:04:27.115734+00:00,deepseek-reasoner,false,mean,0.11333333333333333,0.8933333333333333,0.7466666666666667,25222.666666666668,9377.0,12282.0,0.07023769168568492,0.046188021535170105,0.011547005383792526,129.9038105676658,180.13328398716322,6.3508529610858835,,,,,,
2026-04-25T18:04:46.277691+00:00,deepseek-reasoner,true,42,0.04,0.92,0.74,25219,9302,12074,,,,,,,,,,,,
2026-04-25T18:04:46.281544+00:00,deepseek-reasoner,true,123,0.12,0.92,0.74,25219,9302,12386,,,,,,,,,,,,
2026-04-25T18:04:46.283346+00:00,deepseek-reasoner,true,456,0.18,0.84,0.76,25230,9527,12386,,,,,,,,,,,,
2026-04-25T18:04:46.285171+00:00,deepseek-reasoner,true,mean,0.11333333333333333,0.8933333333333333,0.7466666666666667,25222.666666666668,9377.0,12282.0,0.07023769168568492,0.046188021535170105,0.011547005383792526,129.9038105676658,180.13328398716322,6.3508529610858835,,,,,,
2026-04-21T16:03:34.543477+00:00,gemini-3.1-pro-preview,false,42,0.08,0.96,0.72,21860,7731,10506,,,,,,,,,,,,
2026-04-21T16:03:34.547026+00:00,gemini-3.1-pro-preview,false,123,0.14,0.9,0.68,21860,7731,10829,,,,,,,,,,,,
2026-04-21T16:03:34.548664+00:00,gemini-3.1-pro-preview,false,456,0.14,0.9,0.76,21988,7731,10829,,,,,,,,,,,,
2026-04-21T16:03:34.550194+00:00,gemini-3.1-pro-preview,false,mean,0.12000000000000001,0.92,0.72,21902.666666666668,7731.0,10721.333333333334,0.03464101615137755,0.03464101615137751,0.03999999999999998,0.0,186.48413694824913,73.9008344562721,,,,,,
2026-04-21T18:34:06.851437+00:00,gemini-3.1-pro-preview,false,42,0.08,0.96,0.72,21860,7731,10506,,,,,,,,,,,,
2026-04-21T18:34:06.855593+00:00,gemini-3.1-pro-preview,false,123,0.14,0.9,0.68,21860,7731,10829,,,,,,,,,,,,
2026-04-21T18:34:06.857117+00:00,gemini-3.1-pro-preview,false,456,0.14,0.9,0.76,21988,7731,10829,,,,,,,,,,,,
2026-04-21T18:34:06.858610+00:00,gemini-3.1-pro-preview,false,mean,0.12000000000000001,0.92,0.72,21902.666666666668,7731.0,10721.333333333334,0.03464101615137755,0.03464101615137751,0.03999999999999998,0.0,186.48413694824913,73.9008344562721,,,,,,
2026-04-25T20:41:54.101026+00:00,gemini-3.1-pro-preview,false,42,0.12,0.96,0.8,24423,8148,12188,,,,,,,,,,,,
2026-04-25T20:41:54.105553+00:00,gemini-3.1-pro-preview,false,123,0.1,0.94,0.74,24599,8148,12188,,,,,,,,,,,,
2026-04-25T20:41:54.107427+00:00,gemini-3.1-pro-preview,false,456,0.14,0.98,0.76,24949,8148,12397,,,,,,,,,,,,
