timestamp,model,is_final,seed,test_acc_vgg16bn_cifar100_labelflip,poison_fit_vgg16bn_cifar100_labelflip,robust_score_vgg16bn_cifar100_labelflip,elapsed_vgg16bn-cifar100-labelflip,test_acc_resnet20_cifar10_labelflip,poison_fit_resnet20_cifar10_labelflip,robust_score_resnet20_cifar10_labelflip,elapsed_resnet20-cifar10-labelflip,test_acc_mobilenetv2_fmnist_labelflip,poison_fit_mobilenetv2_fmnist_labelflip,robust_score_mobilenetv2_fmnist_labelflip,elapsed_mobilenetv2-fmnist-labelflip
2026-04-07T09:54:50.233926+00:00,baseline:cross_entropy,true,42,0.6907,0.4532,0.6187,292.7,0.9039,0.1188,0.8925,424.1,0.9472,0.0104,0.9684,771.1
2026-04-07T09:58:31.079407+00:00,baseline:generalized_ce,true,42,0.6674,0.0264,0.8205,318.4,0.9055,0.0404,0.9325,425.5,0.9335,0.005,0.9643,794.5
2026-04-07T10:01:28.824124+00:00,baseline:symmetric_ce,true,42,0.7032,0.1806,0.7613,326.0,0.9076,0.0802,0.9137,440.7,0.9431,0.0067,0.9682,815.5
2026-04-07T10:04:26.704881+00:00,baseline:bootstrap,true,42,0.6814,0.5642,0.5586,318.7,0.9025,0.1142,0.8942,429.1,0.948,0.0076,0.9702,806.5
2026-04-07T16:27:02.285934+00:00,deepseek-reasoner,false,42,0.6921,0.457,0.6176,315,0.8987,0.1176,0.8905,380,0.9467,0.0093,0.9687,927
2026-04-07T17:09:13.879250+00:00,google/gemini-3.1-pro-preview,false,42,0.4747,0.0108,0.7319,310,0.9015,0.0322,0.9346,332,0.9225,0.0054,0.9585,1451
2026-04-07T17:27:42.454818+00:00,anthropic/claude-opus-4.6,false,42,0.5861,0.025,0.7805,325,0.8737,0.023,0.9254,349,0.7663,0.0029,0.8817,1480
2026-04-07T17:39:23.533248+00:00,qwen3.6-plus:free,false,42,0.01,0.0076,0.5012,326,0.1,0.099,0.5005,350,0.1,0.0976,0.5012,1477
2026-04-07T18:03:04.374629+00:00,openai/gpt-5.4-pro,false,42,0.7253,0.0448,0.8402,629,0.9192,0.0308,0.9442,633,0.9464,0.004,0.9712,6
2026-04-07T19:35:15.981896+00:00,openai/gpt-5.4-pro,true,42,0.7258,0.046,0.8399,337,0.9158,0.0282,0.9438,396,0.9464,0.004,0.9712,1018
2026-04-07T19:36:15.416510+00:00,google/gemini-3.1-pro-preview,true,42,0.5442,0.0304,0.7569,314,0.8988,0.0352,0.9318,439,0.9238,0.0048,0.9595,786
2026-04-07T19:40:05.909428+00:00,anthropic/claude-opus-4.6,true,42,0.6922,0.036,0.8281,355,0.896,0.0288,0.9336,410,0.9281,0.0053,0.9614,856
2026-04-07T20:20:05.421676+00:00,qwen3.6-plus:free,true,42,0.6892,0.3804,0.6544,343,0.9093,0.089,0.9102,600,0.9468,0.007,0.9699,1429
2026-04-28T12:38:21.359553+00:00,openai/gpt-5.4,false,42,0.7241,0.0482,0.8379,498,0.9101,0.0332,0.9385,524,0.947,0.004,0.9715,871
2026-04-28T13:29:32.306118+00:00,openai/gpt-5.4,false,42,0.7232,0.1086,0.8073,381,0.9133,0.0446,0.9344,482,0.9485,0.0056,0.9715,957
2026-04-28T13:29:40.786093+00:00,openai/gpt-5.4,true,42,0.7241,0.0482,0.8379,498,0.9101,0.0332,0.9385,524,0.947,0.004,0.9715,871
2026-05-03T10:44:16.014638+00:00,deepseek-reasoner,true,42,0.6921,0.457,0.6176,315,0.8987,0.1176,0.8905,380,0.9467,0.0093,0.9687,927
